name,location_district,location_place,location_detail,room_type,room_area,total_price,average_price
迈宇平墅,顺义,顺义城,顺平路迈宇平墅,4室,217.0,800.0,38000
观承·望溪,顺义,后沙峪,京承高速8号出口东800米,4室,130.0,700.0,55800
西山上品湾MOMA,昌平,昌平其它,阳坊镇温南路与阳八路交汇处,3室,130.0,487.0,37500
中骏天峰,门头沟,滨河西区,石龙东路中骏天峰,3室,89.0,470.0,53000
中海寰宇时代,大兴,瀛海,8号线地铁瀛海站南200米,2室,49.0,300.0,55128
合景·领汇长安,门头沟,滨河西区,北京市门头沟区S1号线桥户营站西300米,3室,78.0,390.0,50000
大苑·海淀府,海淀,田村,西四环外2000米，田村路北大苑·海淀府,3室,170.0,2000.0,110000
禹洲朗廷湾,通州,通州其它,朝阳北路和通顺路交汇处,3室,80.0,430.0,52508
金茂北京国际社区,顺义,顺义其它,水色西路西侧,1室,50.0,200.0,36903
住总如院,大兴,大兴新机场洋房别墅区,采育镇采华路南端,2室,98.0,314.0,31136
北科建翡翠华庭,怀柔,怀柔,京密路辅路与怀杨路交叉口东侧100米,2室,88.0,259.0,29438
东方蓝海中心,昌平,北七家,未来科技城南区内科技城路与南区一路交界处（17号线未来科学城南站100米）,,,500.0,60000
寰球CLUB,通州,通州其它,西集镇京哈高速郎府出口南侧300米,2室,89.0,311.0,35000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号,3室,270.0,1279.0,55583
和悦春风,大兴,大兴新机场,庞各庄镇瓜乡路与永兴河交汇处,2室,76.0,240.0,35000
阳光城溪山悦,密云,密云其它,密溪路33号,2室,80.0,160.0,22000
融创公园壹号,大兴,南中轴机场商务区,孙村公园西侧,2室,73.0,270.0,40000
招商·臻珑府,亦庄开发区,通州其它,亦庄经济技术开发区经海七路与科创十街交汇处,2室,57.0,273.0,47000
融创亦庄壹号,亦庄开发区,通州其它,通惠干渠路与科创九街交汇处西南口（地铁亦庄线次渠南站北行900米）,2室,74.0,350.0,52695
长安九里,石景山,石景山其它,古城南街东侧,2室,86.0,602.0,70000
富力首开·金禧璞瑅,顺义,顺义其它,高泗路四村段23号,4室,140.0,620.0,47000
富力首开·金禧璞瑅,顺义,顺义其它,高泗路四村段23号,5室,360.0,1150.0,36000
熙悦天寰,丰台,丰台其它,鑫博西路与大灰厂东路交口西行20米,3室,89.0,500.0,58000
金融街武夷·融御,通州,武夷花园,通胡大街与东六环西侧路交汇处东南角,2室,50.0,430.0,62000
中骏云景台,房山,房山其它,官道北21号,2室,75.0,200.0,28000
北京金茂府二期,丰台,宋家庄,宋家庄地铁站F口旁,2室,75.0,760.0,103000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,87.0,170.0,22000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,125.0,285.0,22000
中国铁建·山语澜廷,房山,房山其它,阎吕路中国铁建·山语澜廷,4室,223.0,616.0,30000
京澜誉府,通州,万达,玉带河大街乙72号,3室,99.0,594.0,60000
电建·洺悦湾,大兴,旧宫,旧宫北路旧宫地铁站东侧300米,2室,75.0,432.0,54715
中建国望府,丰台,丰台其它,射击场路中建国望府,5室,314.0,1998.0,63630
阳光上东,朝阳,酒仙桥,东四环北路6号,3室,237.0,1650.0,83000
北科建·翡翠华府,怀柔,怀柔,中高路与乐园大街交汇处（雁栖河生态廊道旁）,3室,95.0,385.0,40567
保利绿城·和锦诚园,大兴,瀛海,8号线南段地铁站东1.6公里,3室,111.0,660.0,62000
金悦郡,通州,通州其它,亦庄新城环景西一路与景盛南二街交叉口珠江逸景家园南区西侧,2室,72.0,280.0,36000
北京恒大上河院,密云,密云其它,科技路东侧,2室,79.0,201.45,25500
路劲·御合院,大兴,大兴新机场洋房别墅区,采育镇彩凤路与育进街交叉口,3室,89.0,260.0,29000
熙红印,大兴,西红门,宏福路3号,2室,65.0,386.0,64400
长安和玺,石景山,古城,古城南里长安和玺,4室,125.0,920.0,74000
观承·望溪,顺义,后沙峪,京承高速8号出口东800米,4室,257.0,1200.0,55800
中海甲叁號院,丰台,玉泉营,丰台恒丰路,3室,145.0,1600.0,117500
熙悦宸著,大兴,西红门,福欣路与京开路交叉口东南侧,3室,81.0,521.0,64400
亦庄橡树湾,亦庄开发区,马驹桥,马驹桥镇亦庄新城漷马路与兴华南街交汇处东300米,2室,78.0,257.0,37000
海淀幸福里,海淀,海淀北部新区,北清路海淀幸福里,3室,98.0,774.0,80000
复地通运府,通州,万达,东关大道复地通运府,,,510.0,50000
中旅·亦府,大兴,大兴其它,兴亦路与博兴十路交叉路口往西北约100米,3室,89.0,445.0,50000
常青藤A区,朝阳,东坝,东坝中街13号院,,,850.0,43000
住总兴创如遇,大兴,大兴新机场洋房别墅区,采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米),1室,53.0,159.0,30000
福海棠·华府,丰台,马家堡,马家堡东路189号院,4室,217.0,1550.0,72000
兴创屹墅,大兴,高米店,"双高路兴创屹墅小区, 高米店南里",5室,464.0,3500.0,70000
华贸铂金墅,朝阳,北苑,清苑路华贸天地北侧,3室,177.0,1400.0,69000
天恒乐墅,房山,阎村,京港澳高速阎村出口西行1500米,4室,184.0,738.0,43370
丽景长安二期,门头沟,冯村,永定镇石龙西路与三石路交叉口向南200米西侧,4室,155.0,830.0,52000
观承别墅·大家,顺义,后沙峪,高丽营镇京承高速8号出口路东,4室,300.0,1570.0,55000
卓越万科翡翠山晓,石景山,石景山其它,石景山石门路东侧500米,3室,90.0,450.0,49999
